workload_id,phase,logical_pattern_tp_invariant,calls,logical_payload_bytes,tp2_equivalent_bytes,tp4_equivalent_bytes,tp8_equivalent_bytes,tp2_equivalent_rounds,tp4_equivalent_rounds,tp8_equivalent_rounds,calls_by_op_payload_json
burstgpt_2-5303114000,decode,true,9271,263725056,263725056.0,395587584.0,461518848.0,18542,55626,129794,"{""all_reduce:16384"":511,""all_reduce:24576"":3869,""all_reduce:32768"":4891}"
burstgpt_2-7308914000,prefill,true,73,624328704,624328704.0,936493056.0,1092575232.0,146,438,1022,"{""all_reduce:8552448"":73}"
burstgpt_2-7308914000,decode,true,9271,315752448,315752448.0,473628672.0,552566784.0,18542,55626,129794,"{""all_reduce:32768"":7811,""all_reduce:40960"":1460}"
burstgpt_3-26764310000,prefill,true,73,761274368,761274368.0,1141911552.0,1332230144.0,146,438,1022,"{""all_reduce:10428416"":73}"
burstgpt_3-26764310000,decode,true,7957,164454400,164454400.0,246681600.0,287795200.0,15914,47742,111398,"{""all_reduce:16384"":1168,""all_reduce:32768"":146,""all_reduce:40960"":73,""all_reduce:49152"":1314,""all_reduce:57344"":438,""all_reduce:65536"":146,""all_reduce:8192"":4672}"
burstgpt_3-26622110000,prefill,true,73,39191576576,39191576576.0,58787364864.0,68585259008.0,146,438,1022,"{""all_reduce:536870912"":73}"
burstgpt_3-26622110000,decode,true,1095,70565888,70565888.0,105848832.0,123490304.0,2190,6570,15330,"{""all_reduce:49152"":73,""all_reduce:65536"":1022}"
burstgpt_3-26612510000,prefill,true,73,30998159360,30998159360.0,46497239040.0,54246778880.0,146,438,1022,"{""all_reduce:424632320"":73}"
burstgpt_3-26612510000,decode,true,9271,205717504,205717504.0,308576256.0,360005632.0,18542,55626,129794,"{""all_reduce:16384"":8176,""all_reduce:65536"":1095}"
burstgpt_3-23448410000,prefill,true,73,1620623360,1620623360.0,2430935040.0,2836090880.0,146,438,1022,"{""all_reduce:22200320"":73}"
burstgpt_3-23448410000,decode,true,949,37076992,37076992.0,55615488.0,64884736.0,1898,5694,13286,"{""all_reduce:16384"":511,""all_reduce:65536"":438}"
mooncake_conversation-2100000,prefill,true,73,27951865856,27951865856.0,41927798784.0,48915765248.0,146,438,1022,"{""all_reduce:382902272"":73}"
mooncake_conversation-2100000,decode,true,9271,548380672,548380672.0,822571008.0,959666176.0,18542,55626,129794,"{""all_reduce:49152"":2774,""all_reduce:57344"":1679,""all_reduce:65536"":4818}"
mooncake_conversation-360000,prefill,true,73,27478237184,27478237184.0,41217355776.0,48086915072.0,146,438,1022,"{""all_reduce:376414208"":73}"
mooncake_conversation-360000,decode,true,9271,582467584,582467584.0,873701376.0,1019318272.0,18542,55626,129794,"{""all_reduce:57344"":3066,""all_reduce:65536"":6205}"
mooncake_conversation-2160000,prefill,true,73,24508489728,24508489728.0,36762734592.0,42889857024.0,146,438,1022,"{""all_reduce:335732736"":73}"
mooncake_conversation-2160000,decode,true,9271,516087808,516087808.0,774131712.0,903153664.0,18542,55626,129794,"{""all_reduce:49152"":3431,""all_reduce:57344"":4307,""all_reduce:65536"":1533}"
mooncake_toolagent-2100000,prefill,true,73,26372505600,26372505600.0,39558758400.0,46151884800.0,146,438,1022,"{""all_reduce:361267200"":73}"
mooncake_toolagent-2100000,decode,true,9271,196747264,196747264.0,295120896.0,344307712.0,18542,55626,129794,"{""all_reduce:16384"":6862,""all_reduce:24576"":876,""all_reduce:32768"":438,""all_reduce:40960"":949,""all_reduce:65536"":146}"
mooncake_toolagent-420000,prefill,true,73,26178748416,26178748416.0,39268122624.0,45812809728.0,146,438,1022,"{""all_reduce:358612992"":73}"
mooncake_toolagent-420000,decode,true,9271,178806784,178806784.0,268210176.0,312911872.0,18542,55626,129794,"{""all_reduce:16384"":7884,""all_reduce:24576"":73,""all_reduce:32768"":1168,""all_reduce:65536"":146}"
mooncake_toolagent-540000,prefill,true,73,35093372928,35093372928.0,52640059392.0,61413402624.0,146,438,1022,"{""all_reduce:480731136"":73}"
mooncake_toolagent-540000,decode,true,9271,215285760,215285760.0,322928640.0,376750080.0,18542,55626,129794,"{""all_reduce:16384"":6278,""all_reduce:24576"":1241,""all_reduce:40960"":803,""all_reduce:49152"":803,""all_reduce:65536"":146}"
