model,phase,tp,batch_size,input_len,output_len,repeat_count,calls,logical_payload_bytes,ring_equivalent_bytes,ring_equivalent_rounds,unique_payload_sizes,min_payload_bytes,max_payload_bytes,ops_json,histogram_json,raw_ops_json,collective_families_json
qwen3-8b,decode,2,2,128,512,3,37303,611172352,611172352.0,74606,1,16384,16384,"[""all_reduce""]","{""all_reduce:16384"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,2,2048,32,3,2263,37076992,37076992.0,4526,1,16384,16384,"[""all_reduce""]","{""all_reduce:16384"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,2,2048,128,3,9271,151896064,151896064.0,18542,1,16384,16384,"[""all_reduce""]","{""all_reduce:16384"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,2,2048,512,3,37303,611172352,611172352.0,74606,1,16384,16384,"[""all_reduce""]","{""all_reduce:16384"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,2,8192,32,3,2263,37076992,37076992.0,4526,1,16384,16384,"[""all_reduce""]","{""all_reduce:16384"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,2,8192,128,3,9271,151896064,151896064.0,18542,1,16384,16384,"[""all_reduce""]","{""all_reduce:16384"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,2,8192,512,3,37303,611172352,611172352.0,74606,1,16384,16384,"[""all_reduce""]","{""all_reduce:16384"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,4,128,32,3,2263,74153984,74153984.0,4526,1,32768,32768,"[""all_reduce""]","{""all_reduce:32768"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,4,128,128,3,9271,303792128,303792128.0,18542,1,32768,32768,"[""all_reduce""]","{""all_reduce:32768"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,4,128,512,3,37303,1222344704,1222344704.0,74606,1,32768,32768,"[""all_reduce""]","{""all_reduce:32768"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,4,2048,32,3,2263,74153984,74153984.0,4526,1,32768,32768,"[""all_reduce""]","{""all_reduce:32768"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,4,2048,128,3,9271,303792128,303792128.0,18542,1,32768,32768,"[""all_reduce""]","{""all_reduce:32768"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,4,2048,512,3,37303,1222344704,1222344704.0,74606,1,32768,32768,"[""all_reduce""]","{""all_reduce:32768"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,4,8192,32,3,2263,74153984,74153984.0,4526,1,32768,32768,"[""all_reduce""]","{""all_reduce:32768"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,4,8192,128,3,9271,303792128,303792128.0,18542,1,32768,32768,"[""all_reduce""]","{""all_reduce:32768"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,4,8192,512,3,37303,1222344704,1222344704.0,74606,1,32768,32768,"[""all_reduce""]","{""all_reduce:32768"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,8,128,32,3,2263,148307968,148307968.0,4526,1,65536,65536,"[""all_reduce""]","{""all_reduce:65536"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,8,128,128,3,9271,607584256,607584256.0,18542,1,65536,65536,"[""all_reduce""]","{""all_reduce:65536"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,8,128,512,3,37303,2444689408,2444689408.0,74606,1,65536,65536,"[""all_reduce""]","{""all_reduce:65536"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,8,2048,32,3,2263,148307968,148307968.0,4526,1,65536,65536,"[""all_reduce""]","{""all_reduce:65536"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,8,2048,128,3,9271,607584256,607584256.0,18542,1,65536,65536,"[""all_reduce""]","{""all_reduce:65536"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,8,2048,512,3,37303,2444689408,2444689408.0,74606,1,65536,65536,"[""all_reduce""]","{""all_reduce:65536"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,8,8192,32,3,2263,148307968,148307968.0,4526,1,65536,65536,"[""all_reduce""]","{""all_reduce:65536"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,8,8192,128,3,9271,607584256,607584256.0,18542,1,65536,65536,"[""all_reduce""]","{""all_reduce:65536"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,8,8192,512,3,37303,2444689408,2444689408.0,74606,1,65536,65536,"[""all_reduce""]","{""all_reduce:65536"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,16,128,32,3,2263,296615936,296615936.0,4526,1,131072,131072,"[""all_reduce""]","{""all_reduce:131072"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,16,128,128,3,9271,1215168512,1215168512.0,18542,1,131072,131072,"[""all_reduce""]","{""all_reduce:131072"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,16,128,512,3,37303,4889378816,4889378816.0,74606,1,131072,131072,"[""all_reduce""]","{""all_reduce:131072"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,16,2048,32,3,2263,296615936,296615936.0,4526,1,131072,131072,"[""all_reduce""]","{""all_reduce:131072"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,16,2048,128,3,9271,1215168512,1215168512.0,18542,1,131072,131072,"[""all_reduce""]","{""all_reduce:131072"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,16,2048,512,3,37303,4889378816,4889378816.0,74606,1,131072,131072,"[""all_reduce""]","{""all_reduce:131072"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,16,8192,32,3,2263,296615936,296615936.0,4526,1,131072,131072,"[""all_reduce""]","{""all_reduce:131072"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,16,8192,128,3,9271,1215168512,1215168512.0,18542,1,131072,131072,"[""all_reduce""]","{""all_reduce:131072"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,16,8192,512,3,37303,4889378816,4889378816.0,74606,1,131072,131072,"[""all_reduce""]","{""all_reduce:131072"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,1,128,32,3,2263,18538496,27807744.0,13578,1,8192,8192,"[""all_reduce""]","{""all_reduce:8192"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,1,128,128,3,9271,75948032,113922048.0,55626,1,8192,8192,"[""all_reduce""]","{""all_reduce:8192"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,1,128,512,3,37303,305586176,458379264.0,223818,1,8192,8192,"[""all_reduce""]","{""all_reduce:8192"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,1,2048,32,3,2263,18538496,27807744.0,13578,1,8192,8192,"[""all_reduce""]","{""all_reduce:8192"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,1,2048,128,3,9271,75948032,113922048.0,55626,1,8192,8192,"[""all_reduce""]","{""all_reduce:8192"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,1,2048,512,3,37303,305586176,458379264.0,223818,1,8192,8192,"[""all_reduce""]","{""all_reduce:8192"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,1,8192,32,3,2263,18538496,27807744.0,13578,1,8192,8192,"[""all_reduce""]","{""all_reduce:8192"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,1,8192,128,3,9271,75948032,113922048.0,55626,1,8192,8192,"[""all_reduce""]","{""all_reduce:8192"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,1,8192,512,3,37303,305586176,458379264.0,223818,1,8192,8192,"[""all_reduce""]","{""all_reduce:8192"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,2,128,32,3,2263,37076992,55615488.0,13578,1,16384,16384,"[""all_reduce""]","{""all_reduce:16384"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,2,128,128,3,9271,151896064,227844096.0,55626,1,16384,16384,"[""all_reduce""]","{""all_reduce:16384"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,2,128,512,3,37303,611172352,916758528.0,223818,1,16384,16384,"[""all_reduce""]","{""all_reduce:16384"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,2,2048,32,3,2263,37076992,55615488.0,13578,1,16384,16384,"[""all_reduce""]","{""all_reduce:16384"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,2,2048,128,3,9271,151896064,227844096.0,55626,1,16384,16384,"[""all_reduce""]","{""all_reduce:16384"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,2,2048,512,3,37303,611172352,916758528.0,223818,1,16384,16384,"[""all_reduce""]","{""all_reduce:16384"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,2,8192,32,3,2263,37076992,55615488.0,13578,1,16384,16384,"[""all_reduce""]","{""all_reduce:16384"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,2,8192,128,3,9271,151896064,227844096.0,55626,1,16384,16384,"[""all_reduce""]","{""all_reduce:16384"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,2,8192,512,3,37303,611172352,916758528.0,223818,1,16384,16384,"[""all_reduce""]","{""all_reduce:16384"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,4,128,32,3,2263,74153984,111230976.0,13578,1,32768,32768,"[""all_reduce""]","{""all_reduce:32768"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,4,128,128,3,9271,303792128,455688192.0,55626,1,32768,32768,"[""all_reduce""]","{""all_reduce:32768"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,4,128,512,3,37303,1222344704,1833517056.0,223818,1,32768,32768,"[""all_reduce""]","{""all_reduce:32768"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,4,2048,32,3,2263,74153984,111230976.0,13578,1,32768,32768,"[""all_reduce""]","{""all_reduce:32768"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,4,2048,128,3,9271,303792128,455688192.0,55626,1,32768,32768,"[""all_reduce""]","{""all_reduce:32768"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,4,2048,512,3,37303,1222344704,1833517056.0,223818,1,32768,32768,"[""all_reduce""]","{""all_reduce:32768"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,4,8192,32,3,2263,74153984,111230976.0,13578,1,32768,32768,"[""all_reduce""]","{""all_reduce:32768"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,4,8192,128,3,9271,303792128,455688192.0,55626,1,32768,32768,"[""all_reduce""]","{""all_reduce:32768"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,4,8192,512,3,37303,1222344704,1833517056.0,223818,1,32768,32768,"[""all_reduce""]","{""all_reduce:32768"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,8,128,32,3,2263,148307968,222461952.0,13578,1,65536,65536,"[""all_reduce""]","{""all_reduce:65536"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,8,128,128,3,9271,607584256,911376384.0,55626,1,65536,65536,"[""all_reduce""]","{""all_reduce:65536"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,8,128,512,3,37303,2444689408,3667034112.0,223818,1,65536,65536,"[""all_reduce""]","{""all_reduce:65536"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,8,2048,32,3,2263,148307968,222461952.0,13578,1,65536,65536,"[""all_reduce""]","{""all_reduce:65536"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,8,2048,128,3,9271,607584256,911376384.0,55626,1,65536,65536,"[""all_reduce""]","{""all_reduce:65536"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,8,2048,512,3,37303,2444689408,3667034112.0,223818,1,65536,65536,"[""all_reduce""]","{""all_reduce:65536"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,8,8192,32,3,2263,148307968,222461952.0,13578,1,65536,65536,"[""all_reduce""]","{""all_reduce:65536"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,8,8192,128,3,9271,607584256,911376384.0,55626,1,65536,65536,"[""all_reduce""]","{""all_reduce:65536"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,8,8192,512,3,37303,2444689408,3667034112.0,223818,1,65536,65536,"[""all_reduce""]","{""all_reduce:65536"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,16,128,32,3,2263,296615936,444923904.0,13578,1,131072,131072,"[""all_reduce""]","{""all_reduce:131072"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,16,128,128,3,9271,1215168512,1822752768.0,55626,1,131072,131072,"[""all_reduce""]","{""all_reduce:131072"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,16,128,512,3,37303,4889378816,7334068224.0,223818,1,131072,131072,"[""all_reduce""]","{""all_reduce:131072"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,16,2048,32,3,2263,296615936,444923904.0,13578,1,131072,131072,"[""all_reduce""]","{""all_reduce:131072"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,16,2048,128,3,9271,1215168512,1822752768.0,55626,1,131072,131072,"[""all_reduce""]","{""all_reduce:131072"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,16,2048,512,3,37303,4889378816,7334068224.0,223818,1,131072,131072,"[""all_reduce""]","{""all_reduce:131072"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,16,8192,32,3,2263,296615936,444923904.0,13578,1,131072,131072,"[""all_reduce""]","{""all_reduce:131072"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,16,8192,128,3,9271,1215168512,1822752768.0,55626,1,131072,131072,"[""all_reduce""]","{""all_reduce:131072"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,4,16,8192,512,3,37303,4889378816,7334068224.0,223818,1,131072,131072,"[""all_reduce""]","{""all_reduce:131072"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,1,128,32,3,2263,18538496,32442368.0,31682,1,8192,8192,"[""all_reduce""]","{""all_reduce:8192"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,1,128,128,3,9271,75948032,132909056.0,129794,1,8192,8192,"[""all_reduce""]","{""all_reduce:8192"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,1,128,512,3,37303,305586176,534775808.0,522242,1,8192,8192,"[""all_reduce""]","{""all_reduce:8192"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,1,2048,32,3,2263,18538496,32442368.0,31682,1,8192,8192,"[""all_reduce""]","{""all_reduce:8192"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,1,2048,128,3,9271,75948032,132909056.0,129794,1,8192,8192,"[""all_reduce""]","{""all_reduce:8192"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,1,2048,512,3,37303,305586176,534775808.0,522242,1,8192,8192,"[""all_reduce""]","{""all_reduce:8192"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,1,8192,32,3,2263,18538496,32442368.0,31682,1,8192,8192,"[""all_reduce""]","{""all_reduce:8192"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,1,8192,128,3,9271,75948032,132909056.0,129794,1,8192,8192,"[""all_reduce""]","{""all_reduce:8192"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,1,8192,512,3,37303,305586176,534775808.0,522242,1,8192,8192,"[""all_reduce""]","{""all_reduce:8192"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,2,128,32,3,2263,37076992,64884736.0,31682,1,16384,16384,"[""all_reduce""]","{""all_reduce:16384"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,2,128,128,3,9271,151896064,265818112.0,129794,1,16384,16384,"[""all_reduce""]","{""all_reduce:16384"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,2,128,512,3,37303,611172352,1069551616.0,522242,1,16384,16384,"[""all_reduce""]","{""all_reduce:16384"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,2,2048,32,3,2263,37076992,64884736.0,31682,1,16384,16384,"[""all_reduce""]","{""all_reduce:16384"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,2,2048,128,3,9271,151896064,265818112.0,129794,1,16384,16384,"[""all_reduce""]","{""all_reduce:16384"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,2,2048,512,3,37303,611172352,1069551616.0,522242,1,16384,16384,"[""all_reduce""]","{""all_reduce:16384"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,2,8192,32,3,2263,37076992,64884736.0,31682,1,16384,16384,"[""all_reduce""]","{""all_reduce:16384"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,2,8192,128,3,9271,151896064,265818112.0,129794,1,16384,16384,"[""all_reduce""]","{""all_reduce:16384"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,2,8192,512,3,37303,611172352,1069551616.0,522242,1,16384,16384,"[""all_reduce""]","{""all_reduce:16384"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,4,128,32,3,2263,74153984,129769472.0,31682,1,32768,32768,"[""all_reduce""]","{""all_reduce:32768"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,4,128,128,3,9271,303792128,531636224.0,129794,1,32768,32768,"[""all_reduce""]","{""all_reduce:32768"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,4,128,512,3,37303,1222344704,2139103232.0,522242,1,32768,32768,"[""all_reduce""]","{""all_reduce:32768"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,4,2048,32,3,2263,74153984,129769472.0,31682,1,32768,32768,"[""all_reduce""]","{""all_reduce:32768"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,4,2048,128,3,9271,303792128,531636224.0,129794,1,32768,32768,"[""all_reduce""]","{""all_reduce:32768"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,4,2048,512,3,37303,1222344704,2139103232.0,522242,1,32768,32768,"[""all_reduce""]","{""all_reduce:32768"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,4,8192,32,3,2263,74153984,129769472.0,31682,1,32768,32768,"[""all_reduce""]","{""all_reduce:32768"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,4,8192,128,3,9271,303792128,531636224.0,129794,1,32768,32768,"[""all_reduce""]","{""all_reduce:32768"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,4,8192,512,3,37303,1222344704,2139103232.0,522242,1,32768,32768,"[""all_reduce""]","{""all_reduce:32768"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,8,128,32,3,2263,148307968,259538944.0,31682,1,65536,65536,"[""all_reduce""]","{""all_reduce:65536"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,8,128,128,3,9271,607584256,1063272448.0,129794,1,65536,65536,"[""all_reduce""]","{""all_reduce:65536"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,8,128,512,3,37303,2444689408,4278206464.0,522242,1,65536,65536,"[""all_reduce""]","{""all_reduce:65536"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,8,2048,32,3,2263,148307968,259538944.0,31682,1,65536,65536,"[""all_reduce""]","{""all_reduce:65536"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,8,2048,128,3,9271,607584256,1063272448.0,129794,1,65536,65536,"[""all_reduce""]","{""all_reduce:65536"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,8,2048,512,3,37303,2444689408,4278206464.0,522242,1,65536,65536,"[""all_reduce""]","{""all_reduce:65536"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,8,8192,32,3,2263,148307968,259538944.0,31682,1,65536,65536,"[""all_reduce""]","{""all_reduce:65536"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,8,8192,128,3,9271,607584256,1063272448.0,129794,1,65536,65536,"[""all_reduce""]","{""all_reduce:65536"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,8,8192,512,3,37303,2444689408,4278206464.0,522242,1,65536,65536,"[""all_reduce""]","{""all_reduce:65536"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,16,128,32,3,2263,296615936,519077888.0,31682,1,131072,131072,"[""all_reduce""]","{""all_reduce:131072"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,16,128,128,3,9271,1215168512,2126544896.0,129794,1,131072,131072,"[""all_reduce""]","{""all_reduce:131072"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,16,128,512,3,37303,4889378816,8556412928.0,522242,1,131072,131072,"[""all_reduce""]","{""all_reduce:131072"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,16,2048,32,3,2263,296615936,519077888.0,31682,1,131072,131072,"[""all_reduce""]","{""all_reduce:131072"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,16,2048,128,3,9271,1215168512,2126544896.0,129794,1,131072,131072,"[""all_reduce""]","{""all_reduce:131072"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,16,2048,512,3,37303,4889378816,8556412928.0,522242,1,131072,131072,"[""all_reduce""]","{""all_reduce:131072"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,16,8192,32,3,2263,296615936,519077888.0,31682,1,131072,131072,"[""all_reduce""]","{""all_reduce:131072"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,16,8192,128,3,9271,1215168512,2126544896.0,129794,1,131072,131072,"[""all_reduce""]","{""all_reduce:131072"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,8,16,8192,512,3,37303,4889378816,8556412928.0,522242,1,131072,131072,"[""all_reduce""]","{""all_reduce:131072"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,prefill,2,1,128,8,3,73,76546048,76546048.0,146,1,1048576,1048576,"[""all_reduce""]","{""all_reduce:1048576"":73}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,prefill,2,1,512,8,3,73,306184192,306184192.0,146,1,4194304,4194304,"[""all_reduce""]","{""all_reduce:4194304"":73}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,prefill,2,1,2048,8,3,73,1224736768,1224736768.0,146,1,16777216,16777216,"[""all_reduce""]","{""all_reduce:16777216"":73}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,prefill,2,1,8192,8,3,73,4898947072,4898947072.0,146,1,67108864,67108864,"[""all_reduce""]","{""all_reduce:67108864"":73}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,prefill,2,2,128,8,3,73,153092096,153092096.0,146,1,2097152,2097152,"[""all_reduce""]","{""all_reduce:2097152"":73}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,prefill,2,2,512,8,3,73,612368384,612368384.0,146,1,8388608,8388608,"[""all_reduce""]","{""all_reduce:8388608"":73}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,prefill,2,2,2048,8,3,73,2449473536,2449473536.0,146,1,33554432,33554432,"[""all_reduce""]","{""all_reduce:33554432"":73}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,prefill,2,2,8192,8,3,73,9797894144,9797894144.0,146,1,134217728,134217728,"[""all_reduce""]","{""all_reduce:134217728"":73}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,prefill,2,4,128,8,3,73,306184192,306184192.0,146,1,4194304,4194304,"[""all_reduce""]","{""all_reduce:4194304"":73}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,prefill,2,4,512,8,3,73,1224736768,1224736768.0,146,1,16777216,16777216,"[""all_reduce""]","{""all_reduce:16777216"":73}","[""all_reduce""]","[""all_reduce""]"
